"time","OP"
0,0
0,0
0,0
0.001,0.001
0.002,0.002
0.003,0.003
0.004,0.004
0.005,0.005
0.006,0.006
0.007,0.007
0.008,0.008
0.009,0.009
0.01,0.01
0.011,0.011
0.012,0.012
0.013,0.013
0.014,0.014
0.015,0.015
0.016,0.016
0.017,0.017
0.018,0.018
0.019,0.019
0.02,0.02
0.02,0.02
0.021,0.021
0.022,0.022
0.023,0.023
0.024,0.024
0.025,0.025
0.026,0.026
0.027,0.027
0.028,0.028
0.029,0.029
0.03,0.03
0.031,0.031
0.032,0.032
0.033,0.033
0.034,0.034
0.035,0.035
0.036,0.036
0.037,0.037
0.038,0.038
0.039,0.039
0.04,0.04
0.04,0.02
0.041,0.021
0.042,0.022
0.043,0.023
0.044,0.024
0.045,0.025
0.046,0.026
0.047,0.027
0.048,0.028
0.049,0.029
0.05,0.03
0.051,0.031
0.052,0.032
0.053,0.033
0.054,0.034
0.055,0.035
0.056,0.036
0.057,0.037
0.058,0.038
0.059,0.039
0.06,0.04
0.06,0.02
0.061,0.021
0.062,0.022
0.063,0.023
0.064,0.024
0.065,0.025
0.066,0.026
0.067,0.027
0.068,0.028
0.069,0.029
0.07,0.03
0.071,0.031
0.072,0.032
0.073,0.033
0.074,0.034
0.075,0.035
0.076,0.036
0.077,0.037
0.078,0.038
0.079,0.039
0.08,0.04
0.08,0.02
0.081,0.021
0.082,0.022
0.083,0.023
0.084,0.024
0.085,0.025
0.086,0.026
0.087,0.027
0.088,0.028
0.089,0.029
0.09,0.03
0.091,0.031
0.092,0.032
0.093,0.033
0.094,0.034
0.095,0.035
0.096,0.036
0.097,0.037
0.098,0.038
0.099,0.039
0.1,0.04
0.1,0.02
0.101,0.021
0.102,0.022
0.103,0.023
0.104,0.024
0.105,0.025
0.106,0.026
0.107,0.027
0.108,0.028
0.109,0.029
0.11,0.03
0.111,0.031
0.112,0.032
0.113,0.033
0.114,0.034
0.115,0.035
0.116,0.036
0.117,0.037
0.118,0.038
0.119,0.039
0.12,0.04
0.12,0.02
0.121,0.021
0.122,0.022
0.123,0.023
0.124,0.024
0.125,0.025
0.126,0.026
0.127,0.027
0.128,0.028
0.129,0.029
0.13,0.03
0.131,0.031
0.132,0.032
0.133,0.033
0.134,0.034
0.135,0.035
0.136,0.036
0.137,0.037
0.138,0.038
0.139,0.039
0.14,0.04
0.14,0.02
0.141,0.021
0.142,0.022
0.143,0.023
0.144,0.024
0.145,0.025
0.146,0.026
0.147,0.027
0.148,0.028
0.149,0.029
0.15,0.03
0.151,0.031
0.152,0.032
0.153,0.033
0.154,0.034
0.155,0.035
0.156,0.036
0.157,0.037
0.158,0.038
0.159,0.039
0.16,0.04
