"time","OP"
0,0
0,0
0,0
0.002,0.002
0.004,0.004
0.006,0.006
0.008,0.008
0.01,0.01
0.012,0.012
0.014,0.014
0.016,0.016
0.018,0.018
0.02,0.02
0.02,0.02
0.022,0.022
0.024,0.024
0.026,0.026
0.028,0.028
0.03,0.03
0.032,0.032
0.034,0.034
0.036,0.036
0.038,0.038
0.04,0.04
0.04,0.02
0.042,0.022
0.044,0.024
0.046,0.026
0.048,0.028
0.05,0.03
0.052,0.032
0.054,0.034
0.056,0.036
0.058,0.038
0.06,0.04
0.06,0.02
0.062,0.022
0.064,0.024
0.066,0.026
0.068,0.028
0.07,0.03
0.072,0.032
0.074,0.034
0.076,0.036
0.078,0.038
0.08,0.04
0.08,0.02
0.082,0.022
0.084,0.024
0.086,0.026
0.088,0.028
0.09,0.03
0.092,0.032
0.094,0.034
0.096,0.036
0.098,0.038
0.1,0.04
0.1,0.02
0.102,0.022
0.104,0.024
0.106,0.026
0.108,0.028
0.11,0.03
0.112,0.032
0.114,0.034
0.116,0.036
0.118,0.038
0.12,0.04
0.12,0.02
0.122,0.022
0.124,0.024
0.126,0.026
0.128,0.028
0.13,0.03
0.132,0.032
0.134,0.034
0.136,0.036
0.138,0.038
0.14,0.04
0.14,0.02
0.142,0.022
0.144,0.024
0.146,0.026
0.148,0.028
0.15,0.03
0.152,0.032
0.154,0.034
0.156,0.036
0.158,0.038
0.16,0.04
0.16,0.02
0.162,0.022
0.164,0.024
0.166,0.026
0.168,0.028
0.17,0.03
0.172,0.032
0.174,0.034
0.176,0.036
0.178,0.038
0.18,0.04
0.18,0.02
0.182,0.022
0.184,0.024
0.186,0.026
0.188,0.028
0.19,0.03
0.192,0.032
0.194,0.034
0.196,0.036
0.198,0.038
0.2,0.04
0.2,0.02
0.202,0.022
0.204,0.024
0.206,0.026
0.208,0.028
0.21,0.03
0.212,0.032
0.214,0.034
0.216,0.036
0.218,0.038
0.22,0.04
0.22,0.02
0.222,0.022
0.224,0.024
0.226,0.026
0.228,0.028
0.23,0.03
0.232,0.032
0.234,0.034
0.236,0.036
0.238,0.038
0.24,0.04
0.24,0.02
0.242,0.022
0.244,0.024
0.246,0.026
0.248,0.028
0.25,0.03
0.252,0.032
0.254,0.034
0.256,0.036
0.258,0.038
0.26,0.04
0.26,0.02
0.262,0.022
0.264,0.024
0.266,0.026
0.268,0.028
0.27,0.03
0.272,0.032
0.274,0.034
0.276,0.036
0.278,0.038
0.28,0.04
0.28,0.02
0.282,0.022
0.284,0.024
0.286,0.026
0.288,0.028
0.29,0.03
0.292,0.032
0.294,0.034
0.296,0.036
0.298,0.038
0.3,0.04
0.3,0.02
0.302,0.022
0.304,0.024
