"time","OP"
0,0
0,0
0,0
0.002,0.002
0.004,0.004
0.006,0.006
0.008,0.008
0.01,0.01
0.012,0.012
0.014,0.014
0.016,0.016
0.018,0.018
0.02,0.02
0.022,0.022
0.024,0.024
0.026,0.026
0.028,0.028
0.03,0.03
0.032,0.032
0.034,0.034
0.036,0.036
0.038,0.038
0.04,0.04
0.04,0.04
0.042,0.042
0.044,0.044
0.046,0.046
0.048,0.048
0.05,0.05
0.052,0.052
0.054,0.054
0.056,0.056
0.058,0.058
0.06,0.06
0.062,0.062
0.064,0.064
0.066,0.066
0.068,0.068
0.07,0.07
0.072,0.072
0.074,0.074
0.076,0.076
0.078,0.078
0.08,0.08
0.08,0.04
0.082,0.042
0.084,0.044
0.086,0.046
0.088,0.048
0.09,0.05
0.092,0.052
0.094,0.054
0.096,0.056
0.098,0.058
0.1,0.06
0.102,0.062
0.104,0.064
0.106,0.066
0.108,0.068
0.11,0.07
0.112,0.072
0.114,0.074
0.116,0.076
0.118,0.078
0.12,0.08
0.12,0.04
0.122,0.042
0.124,0.044
0.126,0.046
0.128,0.048
0.13,0.05
0.132,0.052
0.134,0.054
0.136,0.056
0.138,0.058
0.14,0.06
0.142,0.062
0.144,0.064
0.146,0.066
0.148,0.068
0.15,0.07
0.152,0.072
0.154,0.074
0.156,0.076
0.158,0.078
0.16,0.08
0.16,0.04
0.162,0.042
0.164,0.044
0.166,0.046
0.168,0.048
0.17,0.05
0.172,0.052
0.174,0.054
0.176,0.056
0.178,0.058
0.18,0.06
0.182,0.062
0.184,0.064
0.186,0.066
0.188,0.068
0.19,0.07
0.192,0.072
0.194,0.074
0.196,0.076
0.198,0.078
0.2,0.08
0.2,0.04
0.202,0.042
0.204,0.044
0.206,0.046
0.208,0.048
0.21,0.05
0.212,0.052
0.214,0.054
0.216,0.056
0.218,0.058
0.22,0.06
0.222,0.062
0.224,0.064
0.226,0.066
0.228,0.068
0.23,0.07
0.232,0.072
0.234,0.074
0.236,0.076
0.238,0.078
0.24,0.08
0.24,0.04
0.242,0.042
0.244,0.044
0.246,0.046
0.248,0.048
0.25,0.05
0.252,0.052
0.254,0.054
0.256,0.056
0.258,0.058
0.26,0.06
0.262,0.062
0.264,0.064
0.266,0.066
0.268,0.068
0.27,0.07
0.272,0.072
0.274,0.074
0.276,0.076
0.278,0.078
0.28,0.08
0.28,0.04
0.282,0.042
0.284,0.044
0.286,0.046
0.288,0.048
0.29,0.05
0.292,0.052
0.294,0.054
0.296,0.056
0.298,0.058
0.3,0.06
0.302,0.062
0.304,0.064
0.306,0.066
0.308,0.068
0.31,0.07
0.312,0.072
0.314,0.074
0.316,0.076
0.318,0.078
0.32,0.08
